Description,Class
Propane Purchase - Office Building 2 February,Heating
Electricity Supply - R&D Lab (Q1),Electricity
Heating Service - Chemical Storage October,Heating
Power Consumption - North Warehouse (Quarterly),Electricity
Natural Gas Supply - Manufacturing Area February,Heating
Electrical Service - North Warehouse (December),Electricity
Municipal Water - Laboratory Q3,Water
Power Consumption - Packaging Facility (Year-End),Electricity
Kwh Usage - Packaging Facility (Semi-Annual),Electricity
Fuel Oil Delivery - Drying Ovens Q4,Heating
Propane Purchase - Warehouse Gas Meter Reading,Heating
Natural Gas Supply - Office Building 2 October,Heating
Propane Purchase - Office Building 2 October,Heating
Refuse Collection - Solvent Waste Monthly Fee,Waste Disposal
Fuel Oil Delivery - Warehouse October,Heating
Heating Service - Manufacturing Area Monthly,Heating
Scrap Metal Hauling - Pallet Disposal Container Emptying,Waste Disposal
Chemical Waste Removal - General Refuse Container Emptying,Waste Disposal
Hazardous Waste Pickup - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Municipal Water - Admin Block July,Water
Chemical Waste Removal - Pallet Disposal Weekly Service,Waste Disposal
Scrap Metal Hauling - General Refuse Q1,Waste Disposal
Refuse Collection - Industrial Debris Container Emptying,Waste Disposal
Refuse Collection - General Refuse Q1,Waste Disposal
Fuel Oil Delivery - Manufacturing Area Gas Meter Reading,Heating
Heating Service - Manufacturing Area Q4,Heating
Refuse Collection - Solvent Waste Q1,Waste Disposal
Power Consumption - North Warehouse (Semi-Annual),Electricity
Utility Water Bill - Laboratory Meter Reading,Water
Waste Disposal - General Refuse Monthly Fee,Waste Disposal
Kwh Usage - R&D Lab (Q1),Electricity
Electrical Service - North Warehouse (Q1),Electricity
Fuel Oil Delivery - Office Building 2 Winter Season,Heating
Natural Gas Supply - Manufacturing Area October,Heating
Waste Disposal - Pallet Disposal Monthly Fee,Waste Disposal
Gas Consumption - Chemical Storage Q4,Heating
Utility Water Bill - Cooling Tower Meter Reading,Water
Refuse Collection - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Fuel Oil Delivery - Drying Ovens Gas Meter Reading,Heating
H2O Billing - Irrigation System Monthly Invoice,Water
Municipal Water - Laboratory Q2,Water
Gas Consumption - Manufacturing Area October,Heating
Power Consumption - Data Center (January),Electricity
Scrap Metal Hauling - General Refuse Weekly Service,Waste Disposal
Municipal Water - Irrigation System April,Water
Power Consumption - R&D Lab (January),Electricity
Refuse Collection - Solvent Waste Q1,Waste Disposal
Refuse Collection - Recyclable Materials Monthly Fee,Waste Disposal
Natural Gas Supply - Boiler Room February,Heating
Electricity Supply - North Warehouse (Semi-Annual),Electricity
Heating Service - Boiler Room Winter Season,Heating
Electricity Supply - Packaging Facility (Quarterly),Electricity
Electrical Service - R&D Lab (Q1),Electricity
Gas Consumption - Chemical Storage Q4,Heating
Scrap Metal Hauling - General Refuse Monthly Fee,Waste Disposal
Scrap Metal Hauling - Recyclable Materials Container Emptying,Waste Disposal
Chemical Waste Removal - Industrial Debris Weekly Service,Waste Disposal
Heating Service - Manufacturing Area October,Heating
H2O Billing - Irrigation System Q3,Water
Electrical Service - Packaging Facility (December),Electricity
Natural Gas Supply - Boiler Room Gas Meter Reading,Heating
Heating Service - Manufacturing Area October,Heating
Chemical Waste Removal - Solvent Waste Monthly Fee,Waste Disposal
Power Consumption - Production Line 3 (Quarterly),Electricity
Utility Water Bill - Cooling Tower Annual Fee,Water
Waste Disposal - Recyclable Materials Weekly Service,Waste Disposal
Municipal Water - Admin Block Monthly Invoice,Water
Electricity Supply - Data Center (Quarterly),Electricity
Refuse Collection - Solvent Waste Container Emptying,Waste Disposal
Water Charges - Admin Block Monthly Invoice,Water
Water Supply - Irrigation System April,Water
Chemical Waste Removal - Solvent Waste Weekly Service,Waste Disposal
Gas Consumption - Warehouse Winter Season,Heating
Electrical Service - Data Center (Monthly),Electricity
Electricity Supply - Corporate Office (Quarterly),Electricity
Water Charges - Admin Block April,Water
Grid Charge - North Warehouse (Quarterly),Electricity
Electricity Supply - Data Center (Monthly),Electricity
Hazardous Waste Pickup - Pallet Disposal Bi-Weekly Pickup,Waste Disposal
Natural Gas Supply - Drying Ovens Peak Demand,Heating
Natural Gas Supply - Office Building 2 Q4,Heating
H2O Billing - Irrigation System Annual Fee,Water
Propane Purchase - Chemical Storage Peak Demand,Heating
Utility Water Bill - Laboratory July,Water
Municipal Water - Irrigation System July,Water
Electrical Service - North Warehouse (Q1),Electricity
Kwh Usage - North Warehouse (Year-End),Electricity
Municipal Water - Cooling Tower Q2,Water
Grid Charge - Data Center (December),Electricity
Water Charges - Admin Block Q2,Water
Utility Water Bill - Production Site Monthly Invoice,Water
Gas Consumption - Boiler Room February,Heating
Hazardous Waste Pickup - Recyclable Materials Monthly Fee,Waste Disposal
Municipal Water - Fire Sprinklers Meter Reading,Water
Hazardous Waste Pickup - Industrial Debris Weekly Service,Waste Disposal
Fuel Oil Delivery - Manufacturing Area Winter Season,Heating
Scrap Metal Hauling - Pallet Disposal Bi-Weekly Pickup,Waste Disposal
Gas Consumption - Chemical Storage October,Heating
Kwh Usage - Packaging Facility (Q1),Electricity
Chemical Waste Removal - General Refuse Monthly Fee,Waste Disposal
Natural Gas Supply - Office Building 2 February,Heating
Gas Consumption - Office Building 2 Gas Meter Reading,Heating
Refuse Collection - Solvent Waste Bi-Weekly Pickup,Waste Disposal
Utility Water Bill - Irrigation System Monthly Invoice,Water
Grid Charge - R&D Lab (Year-End),Electricity
Electricity Supply - Data Center (December),Electricity
Kwh Usage - Packaging Facility (Q1),Electricity
Electricity Supply - Data Center (Q1),Electricity
H2O Billing - Fire Sprinklers July,Water
Grid Charge - R&D Lab (Q3),Electricity
Chemical Waste Removal - General Refuse Weekly Service,Waste Disposal
Natural Gas Supply - Office Building 2 February,Heating
Kwh Usage - North Warehouse (Semi-Annual),Electricity
Hazardous Waste Pickup - General Refuse Container Emptying,Waste Disposal
Kwh Usage - Data Center (Year-End),Electricity
Electricity Supply - Main Plant (Monthly),Electricity
Heating Service - Warehouse October,Heating
Kwh Usage - Packaging Facility (Semi-Annual),Electricity
Heating Service - Chemical Storage February,Heating
Heating Service - Drying Ovens Winter Season,Heating
Refuse Collection - Industrial Debris Q1,Waste Disposal
Chemical Waste Removal - Pallet Disposal Weekly Service,Waste Disposal
Grid Charge - Main Plant (Monthly),Electricity
Grid Charge - R&D Lab (January),Electricity
Power Consumption - Corporate Office (January),Electricity
Water Supply - Irrigation System April,Water
Fuel Oil Delivery - Office Building 2 February,Heating
Chemical Waste Removal - Solvent Waste Container Emptying,Waste Disposal
Water Charges - Cooling Tower Q3,Water
Refuse Collection - General Refuse Container Emptying,Waste Disposal
Utility Water Bill - Cooling Tower Q3,Water
Gas Consumption - Manufacturing Area Gas Meter Reading,Heating
Scrap Metal Hauling - Industrial Debris Weekly Service,Waste Disposal
Waste Disposal - General Refuse Container Emptying,Waste Disposal
Heating Service - Warehouse Peak Demand,Heating
Grid Charge - Main Plant (Year-End),Electricity
Grid Charge - Packaging Facility (December),Electricity
Electricity Supply - Corporate Office (January),Electricity
Fuel Oil Delivery - Warehouse Gas Meter Reading,Heating
Hazardous Waste Pickup - Solvent Waste Monthly Fee,Waste Disposal
Grid Charge - North Warehouse (Q1),Electricity
Water Supply - Irrigation System Q2,Water
Municipal Water - Laboratory Annual Fee,Water
Hazardous Waste Pickup - Recyclable Materials Monthly Fee,Waste Disposal
Grid Charge - Corporate Office (December),Electricity
Power Consumption - Main Plant (Quarterly),Electricity
Chemical Waste Removal - Solvent Waste Weekly Service,Waste Disposal
Water Charges - Fire Sprinklers Annual Fee,Water
H2O Billing - Admin Block Q2,Water
Municipal Water - Production Site July,Water
Water Supply - Admin Block Annual Fee,Water
Scrap Metal Hauling - Solvent Waste Monthly Fee,Waste Disposal
H2O Billing - Laboratory July,Water
Electrical Service - North Warehouse (Monthly),Electricity
Grid Charge - R&D Lab (Semi-Annual),Electricity
Utility Water Bill - Laboratory April,Water
Refuse Collection - Recyclable Materials Container Emptying,Waste Disposal
Waste Disposal - Recyclable Materials Q1,Waste Disposal
Water Charges - Irrigation System Monthly Invoice,Water
H2O Billing - Cooling Tower April,Water
H2O Billing - Cooling Tower Q2,Water
Grid Charge - Packaging Facility (Q1),Electricity
Fuel Oil Delivery - Chemical Storage February,Heating
Gas Consumption - Office Building 2 Q4,Heating
Electrical Service - Corporate Office (Year-End),Electricity
Refuse Collection - General Refuse Container Emptying,Waste Disposal
Gas Consumption - Office Building 2 Gas Meter Reading,Heating
Refuse Collection - Solvent Waste Q1,Waste Disposal
Water Charges - Cooling Tower Annual Fee,Water
H2O Billing - Admin Block Q3,Water
Kwh Usage - Production Line 3 (Quarterly),Electricity
Heating Service - Chemical Storage Q4,Heating
Refuse Collection - Solvent Waste Container Emptying,Waste Disposal
Electrical Service - North Warehouse (Q3),Electricity
Scrap Metal Hauling - Pallet Disposal Container Emptying,Waste Disposal
Heating Service - Boiler Room Monthly,Heating
Water Supply - Cooling Tower Monthly Invoice,Water
Municipal Water - Irrigation System Monthly Invoice,Water
Power Consumption - Data Center (Q3),Electricity
H2O Billing - Irrigation System Meter Reading,Water
Heating Service - Office Building 2 Monthly,Heating
Fuel Oil Delivery - Drying Ovens Q4,Heating
Water Charges - Laboratory April,Water
Kwh Usage - Packaging Facility (Q1),Electricity
Kwh Usage - Packaging Facility (Q3),Electricity
Fuel Oil Delivery - Office Building 2 October,Heating
Scrap Metal Hauling - Solvent Waste Q1,Waste Disposal
Natural Gas Supply - Office Building 2 Q4,Heating
Electricity Supply - Production Line 3 (December),Electricity
H2O Billing - Laboratory Q2,Water
Electricity Supply - Production Line 3 (Monthly),Electricity
Gas Consumption - Office Building 2 Winter Season,Heating
Waste Disposal - Pallet Disposal Weekly Service,Waste Disposal
Fuel Oil Delivery - Office Building 2 Peak Demand,Heating
Grid Charge - Packaging Facility (January),Electricity
Hazardous Waste Pickup - Recyclable Materials Monthly Fee,Waste Disposal
H2O Billing - Laboratory Q3,Water
Fuel Oil Delivery - Drying Ovens Gas Meter Reading,Heating
H2O Billing - Cooling Tower July,Water
Kwh Usage - Production Line 3 (Monthly),Electricity
Electricity Supply - Production Line 3 (Semi-Annual),Electricity
Hazardous Waste Pickup - General Refuse Monthly Fee,Waste Disposal
Water Supply - Irrigation System Q2,Water
Municipal Water - Fire Sprinklers Q2,Water
Scrap Metal Hauling - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Heating Service - Manufacturing Area Monthly,Heating
Utility Water Bill - Laboratory Meter Reading,Water
Natural Gas Supply - Warehouse February,Heating
Hazardous Waste Pickup - Solvent Waste Bi-Weekly Pickup,Waste Disposal
Water Charges - Production Site Monthly Invoice,Water
Fuel Oil Delivery - Drying Ovens Monthly,Heating
Municipal Water - Production Site April,Water
Grid Charge - Packaging Facility (Monthly),Electricity
Electricity Supply - Main Plant (Q1),Electricity
Natural Gas Supply - Office Building 2 October,Heating
Grid Charge - Main Plant (December),Electricity
Propane Purchase - Chemical Storage Gas Meter Reading,Heating
Gas Consumption - Drying Ovens Monthly,Heating
Heating Service - Drying Ovens Q4,Heating
Municipal Water - Cooling Tower July,Water
Gas Consumption - Warehouse Q4,Heating
Power Consumption - Data Center (January),Electricity
Fuel Oil Delivery - Drying Ovens Peak Demand,Heating
Fuel Oil Delivery - Boiler Room Peak Demand,Heating
Utility Water Bill - Production Site Q3,Water
Utility Water Bill - Cooling Tower Q2,Water
Power Consumption - Data Center (January),Electricity
Heating Service - Drying Ovens Peak Demand,Heating
Heating Service - Drying Ovens Monthly,Heating
Utility Water Bill - Laboratory Q3,Water
Municipal Water - Laboratory Q3,Water
Chemical Waste Removal - Solvent Waste Container Emptying,Waste Disposal
Hazardous Waste Pickup - Recyclable Materials Q1,Waste Disposal
Electricity Supply - Main Plant (Q3),Electricity
Heating Service - Drying Ovens Peak Demand,Heating
Kwh Usage - Corporate Office (Quarterly),Electricity
Electrical Service - Production Line 3 (January),Electricity
Propane Purchase - Chemical Storage Monthly,Heating
Hazardous Waste Pickup - Solvent Waste Q1,Waste Disposal
Municipal Water - Irrigation System Monthly Invoice,Water
H2O Billing - Fire Sprinklers Annual Fee,Water
Hazardous Waste Pickup - General Refuse Monthly Fee,Waste Disposal
Water Supply - Irrigation System Q2,Water
Municipal Water - Laboratory July,Water
Gas Consumption - Office Building 2 Monthly,Heating
Scrap Metal Hauling - Recyclable Materials Monthly Fee,Waste Disposal
Water Charges - Fire Sprinklers April,Water
Gas Consumption - Drying Ovens Winter Season,Heating
Electricity Supply - R&D Lab (December),Electricity
Refuse Collection - General Refuse Q1,Waste Disposal
Water Charges - Laboratory Meter Reading,Water
Water Supply - Admin Block Annual Fee,Water
Fuel Oil Delivery - Boiler Room October,Heating
Grid Charge - Production Line 3 (Q3),Electricity
Water Supply - Fire Sprinklers Q2,Water
H2O Billing - Laboratory July,Water
Heating Service - Drying Ovens Q4,Heating
Chemical Waste Removal - Industrial Debris Q1,Waste Disposal
Electrical Service - Corporate Office (Year-End),Electricity
Natural Gas Supply - Chemical Storage Gas Meter Reading,Heating
Water Charges - Laboratory Meter Reading,Water
Power Consumption - Main Plant (Semi-Annual),Electricity
Heating Service - Drying Ovens Peak Demand,Heating
Gas Consumption - Drying Ovens Q4,Heating
Electricity Supply - North Warehouse (January),Electricity
Kwh Usage - Production Line 3 (Semi-Annual),Electricity
Chemical Waste Removal - Industrial Debris Weekly Service,Waste Disposal
Water Supply - Production Site April,Water
H2O Billing - Cooling Tower Meter Reading,Water
Gas Consumption - Manufacturing Area October,Heating
Natural Gas Supply - Manufacturing Area Monthly,Heating
Kwh Usage - R&D Lab (January),Electricity
Heating Service - Manufacturing Area Peak Demand,Heating
Power Consumption - Production Line 3 (Year-End),Electricity
H2O Billing - Laboratory Annual Fee,Water
Gas Consumption - Chemical Storage Monthly,Heating
Hazardous Waste Pickup - Solvent Waste Container Emptying,Waste Disposal
Electrical Service - Main Plant (Quarterly),Electricity
Municipal Water - Laboratory Monthly Invoice,Water
Municipal Water - Fire Sprinklers April,Water
Municipal Water - Irrigation System Q3,Water
Electricity Supply - Production Line 3 (December),Electricity
Heating Service - Office Building 2 Peak Demand,Heating
Kwh Usage - Production Line 3 (Quarterly),Electricity
Propane Purchase - Manufacturing Area Winter Season,Heating
Kwh Usage - North Warehouse (Monthly),Electricity
H2O Billing - Laboratory April,Water
Kwh Usage - Corporate Office (December),Electricity
Electrical Service - Main Plant (Monthly),Electricity
Utility Water Bill - Fire Sprinklers Q2,Water
Electrical Service - North Warehouse (January),Electricity
Utility Water Bill - Production Site July,Water
Fuel Oil Delivery - Manufacturing Area Monthly,Heating
Natural Gas Supply - Warehouse Q4,Heating
Water Charges - Production Site Q3,Water
Utility Water Bill - Admin Block Q2,Water
Chemical Waste Removal - Industrial Debris Monthly Fee,Waste Disposal
Power Consumption - Production Line 3 (Quarterly),Electricity
Propane Purchase - Chemical Storage October,Heating
Electrical Service - Corporate Office (Monthly),Electricity
Electricity Supply - R&D Lab (December),Electricity
Power Consumption - Production Line 3 (Monthly),Electricity
Chemical Waste Removal - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Gas Consumption - Chemical Storage Winter Season,Heating
Electricity Supply - Production Line 3 (Year-End),Electricity
Electrical Service - R&D Lab (Semi-Annual),Electricity
Chemical Waste Removal - General Refuse Container Emptying,Waste Disposal
Natural Gas Supply - Chemical Storage February,Heating
Chemical Waste Removal - General Refuse Container Emptying,Waste Disposal
Power Consumption - Packaging Facility (Year-End),Electricity
H2O Billing - Laboratory Q2,Water
Fuel Oil Delivery - Manufacturing Area Monthly,Heating
Scrap Metal Hauling - Pallet Disposal Container Emptying,Waste Disposal
Gas Consumption - Chemical Storage Monthly,Heating
Grid Charge - Packaging Facility (Year-End),Electricity
Natural Gas Supply - Manufacturing Area Peak Demand,Heating
Waste Disposal - Solvent Waste Container Emptying,Waste Disposal
H2O Billing - Fire Sprinklers April,Water
Hazardous Waste Pickup - Recyclable Materials Monthly Fee,Waste Disposal
Grid Charge - Corporate Office (December),Electricity
Water Supply - Cooling Tower Annual Fee,Water
Refuse Collection - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Water Supply - Admin Block July,Water
Hazardous Waste Pickup - General Refuse Weekly Service,Waste Disposal
Municipal Water - Irrigation System April,Water
Chemical Waste Removal - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Utility Water Bill - Cooling Tower Meter Reading,Water
Refuse Collection - Pallet Disposal Bi-Weekly Pickup,Waste Disposal
Electricity Supply - Data Center (Semi-Annual),Electricity
Scrap Metal Hauling - Pallet Disposal Container Emptying,Waste Disposal
Scrap Metal Hauling - General Refuse Q1,Waste Disposal
Utility Water Bill - Irrigation System Meter Reading,Water
Electricity Supply - North Warehouse (Q1),Electricity
Municipal Water - Cooling Tower Meter Reading,Water
Utility Water Bill - Irrigation System Annual Fee,Water
Municipal Water - Cooling Tower Q3,Water
Electricity Supply - Production Line 3 (Year-End),Electricity
Kwh Usage - Packaging Facility (Year-End),Electricity
Waste Disposal - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Heating Service - Warehouse October,Heating
Grid Charge - Production Line 3 (Year-End),Electricity
Utility Water Bill - Admin Block Q2,Water
Electrical Service - Data Center (Quarterly),Electricity
Electrical Service - Production Line 3 (Semi-Annual),Electricity
Hazardous Waste Pickup - Pallet Disposal Weekly Service,Waste Disposal
Water Supply - Laboratory Annual Fee,Water
Electricity Supply - Packaging Facility (Year-End),Electricity
Kwh Usage - Main Plant (Q1),Electricity
Municipal Water - Irrigation System July,Water
Electrical Service - R&D Lab (December),Electricity
Grid Charge - R&D Lab (December),Electricity
Water Supply - Irrigation System Q2,Water
Gas Consumption - Chemical Storage Winter Season,Heating
Water Charges - Admin Block Annual Fee,Water
Refuse Collection - Recyclable Materials Q1,Waste Disposal
Grid Charge - Packaging Facility (Q1),Electricity
Propane Purchase - Manufacturing Area Winter Season,Heating
Kwh Usage - Production Line 3 (Year-End),Electricity
Water Supply - Fire Sprinklers Meter Reading,Water
Electricity Supply - Data Center (Year-End),Electricity
Utility Water Bill - Admin Block July,Water
Utility Water Bill - Production Site July,Water
Grid Charge - Main Plant (Q1),Electricity
Water Charges - Production Site Monthly Invoice,Water
Fuel Oil Delivery - Manufacturing Area February,Heating
Water Charges - Admin Block Q2,Water
Propane Purchase - Manufacturing Area Winter Season,Heating
Utility Water Bill - Cooling Tower Q2,Water
Utility Water Bill - Cooling Tower Annual Fee,Water
Hazardous Waste Pickup - Solvent Waste Bi-Weekly Pickup,Waste Disposal
Grid Charge - North Warehouse (December),Electricity
Kwh Usage - Production Line 3 (January),Electricity
Natural Gas Supply - Manufacturing Area Winter Season,Heating
Water Supply - Irrigation System July,Water
Propane Purchase - Boiler Room Peak Demand,Heating
H2O Billing - Irrigation System Q3,Water
Hazardous Waste Pickup - Recyclable Materials Container Emptying,Waste Disposal
Grid Charge - R&D Lab (December),Electricity
Utility Water Bill - Irrigation System Meter Reading,Water
Propane Purchase - Drying Ovens Gas Meter Reading,Heating
H2O Billing - Cooling Tower Annual Fee,Water
Heating Service - Warehouse Peak Demand,Heating
Water Supply - Production Site April,Water
Grid Charge - North Warehouse (January),Electricity
Kwh Usage - Packaging Facility (January),Electricity
Propane Purchase - Drying Ovens October,Heating
Water Charges - Laboratory April,Water
Municipal Water - Production Site April,Water
Heating Service - Chemical Storage Gas Meter Reading,Heating
H2O Billing - Cooling Tower Q2,Water
Power Consumption - Data Center (Semi-Annual),Electricity
Waste Disposal - Recyclable Materials Q1,Waste Disposal
H2O Billing - Production Site Annual Fee,Water
Gas Consumption - Chemical Storage Q4,Heating
Municipal Water - Production Site Annual Fee,Water
Waste Disposal - Pallet Disposal Bi-Weekly Pickup,Waste Disposal
Grid Charge - Production Line 3 (Monthly),Electricity
Refuse Collection - Pallet Disposal Monthly Fee,Waste Disposal
Hazardous Waste Pickup - Recyclable Materials Weekly Service,Waste Disposal
Utility Water Bill - Fire Sprinklers July,Water
H2O Billing - Cooling Tower Monthly Invoice,Water
Utility Water Bill - Admin Block Monthly Invoice,Water
Kwh Usage - Main Plant (Monthly),Electricity
Refuse Collection - Recyclable Materials Weekly Service,Waste Disposal
Kwh Usage - Packaging Facility (Quarterly),Electricity
Hazardous Waste Pickup - Solvent Waste Container Emptying,Waste Disposal
Power Consumption - Production Line 3 (Q1),Electricity
Heating Service - Warehouse February,Heating
Electricity Supply - R&D Lab (Semi-Annual),Electricity
Kwh Usage - Corporate Office (Monthly),Electricity
Kwh Usage - R&D Lab (Quarterly),Electricity
Chemical Waste Removal - Pallet Disposal Bi-Weekly Pickup,Waste Disposal
Electricity Supply - Corporate Office (Q3),Electricity
Waste Disposal - Pallet Disposal Bi-Weekly Pickup,Waste Disposal
Scrap Metal Hauling - Pallet Disposal Monthly Fee,Waste Disposal
Scrap Metal Hauling - General Refuse Q1,Waste Disposal
Water Charges - Production Site Meter Reading,Water
Propane Purchase - Boiler Room Gas Meter Reading,Heating
Heating Service - Manufacturing Area October,Heating
Power Consumption - Main Plant (Quarterly),Electricity
Gas Consumption - Office Building 2 October,Heating
Heating Service - Drying Ovens October,Heating
Natural Gas Supply - Office Building 2 Monthly,Heating
Waste Disposal - General Refuse Bi-Weekly Pickup,Waste Disposal
Electrical Service - Data Center (Monthly),Electricity
Refuse Collection - Solvent Waste Weekly Service,Waste Disposal
H2O Billing - Cooling Tower Meter Reading,Water
Gas Consumption - Boiler Room Q4,Heating
Gas Consumption - Boiler Room Gas Meter Reading,Heating
Refuse Collection - General Refuse Weekly Service,Waste Disposal
Kwh Usage - Data Center (January),Electricity
Water Charges - Admin Block Q3,Water
Fuel Oil Delivery - Chemical Storage Monthly,Heating
Kwh Usage - R&D Lab (Quarterly),Electricity
Kwh Usage - Data Center (Quarterly),Electricity
Water Supply - Cooling Tower Annual Fee,Water
Gas Consumption - Warehouse October,Heating
Water Supply - Admin Block Annual Fee,Water
Power Consumption - R&D Lab (Monthly),Electricity
Electricity Supply - Corporate Office (Q1),Electricity
Power Consumption - Main Plant (Semi-Annual),Electricity
Scrap Metal Hauling - Industrial Debris Monthly Fee,Waste Disposal
Refuse Collection - Pallet Disposal Bi-Weekly Pickup,Waste Disposal
Water Charges - Production Site April,Water
Propane Purchase - Boiler Room October,Heating
Electricity Supply - Main Plant (December),Electricity
Water Supply - Irrigation System Q2,Water
Gas Consumption - Drying Ovens October,Heating
H2O Billing - Laboratory April,Water
H2O Billing - Fire Sprinklers Annual Fee,Water
Chemical Waste Removal - General Refuse Monthly Fee,Waste Disposal
Chemical Waste Removal - Industrial Debris Container Emptying,Waste Disposal
Fuel Oil Delivery - Warehouse Gas Meter Reading,Heating
Hazardous Waste Pickup - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Chemical Waste Removal - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Waste Disposal - Industrial Debris Q1,Waste Disposal
Municipal Water - Fire Sprinklers Q3,Water
Natural Gas Supply - Chemical Storage Monthly,Heating
Waste Disposal - General Refuse Bi-Weekly Pickup,Waste Disposal
Electrical Service - Packaging Facility (Quarterly),Electricity
Water Supply - Admin Block July,Water
Electrical Service - Corporate Office (Quarterly),Electricity
Natural Gas Supply - Drying Ovens October,Heating
Refuse Collection - Pallet Disposal Weekly Service,Waste Disposal
Propane Purchase - Chemical Storage Peak Demand,Heating
Kwh Usage - Packaging Facility (Q3),Electricity
Waste Disposal - Pallet Disposal Q1,Waste Disposal
Scrap Metal Hauling - Recyclable Materials Weekly Service,Waste Disposal
Kwh Usage - Data Center (Q1),Electricity
Hazardous Waste Pickup - Industrial Debris Container Emptying,Waste Disposal
Natural Gas Supply - Office Building 2 October,Heating
Electrical Service - R&D Lab (January),Electricity
Propane Purchase - Chemical Storage Winter Season,Heating
Kwh Usage - Packaging Facility (Q1),Electricity
Water Charges - Admin Block Annual Fee,Water
H2O Billing - Cooling Tower Q3,Water
Gas Consumption - Drying Ovens October,Heating
Refuse Collection - Pallet Disposal Monthly Fee,Waste Disposal
Chemical Waste Removal - Industrial Debris Weekly Service,Waste Disposal
Water Charges - Irrigation System Q2,Water
Heating Service - Manufacturing Area October,Heating
Scrap Metal Hauling - Pallet Disposal Monthly Fee,Waste Disposal
Utility Water Bill - Fire Sprinklers July,Water
Electricity Supply - Main Plant (Quarterly),Electricity
Electrical Service - Packaging Facility (Semi-Annual),Electricity
Grid Charge - Production Line 3 (Year-End),Electricity
Kwh Usage - Production Line 3 (Year-End),Electricity
Refuse Collection - Pallet Disposal Bi-Weekly Pickup,Waste Disposal
Hazardous Waste Pickup - Industrial Debris Container Emptying,Waste Disposal
Power Consumption - Packaging Facility (Monthly),Electricity
Utility Water Bill - Cooling Tower Monthly Invoice,Water
Natural Gas Supply - Warehouse Monthly,Heating
Propane Purchase - Office Building 2 Gas Meter Reading,Heating
Scrap Metal Hauling - Industrial Debris Q1,Waste Disposal
Utility Water Bill - Production Site Annual Fee,Water
Electricity Supply - Data Center (Quarterly),Electricity
Hazardous Waste Pickup - Solvent Waste Bi-Weekly Pickup,Waste Disposal
Grid Charge - Data Center (Semi-Annual),Electricity
Waste Disposal - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Propane Purchase - Warehouse Monthly,Heating
Water Charges - Laboratory Meter Reading,Water
Refuse Collection - Solvent Waste Bi-Weekly Pickup,Waste Disposal
Electricity Supply - North Warehouse (Q1),Electricity
Chemical Waste Removal - General Refuse Bi-Weekly Pickup,Waste Disposal
Refuse Collection - General Refuse Container Emptying,Waste Disposal
Natural Gas Supply - Chemical Storage Peak Demand,Heating
Water Charges - Fire Sprinklers Q2,Water
Water Charges - Fire Sprinklers Q2,Water
Municipal Water - Irrigation System April,Water
Grid Charge - Production Line 3 (Monthly),Electricity
Water Supply - Fire Sprinklers Monthly Invoice,Water
Fuel Oil Delivery - Boiler Room Gas Meter Reading,Heating
Grid Charge - Packaging Facility (Quarterly),Electricity
Waste Disposal - General Refuse Q1,Waste Disposal
Fuel Oil Delivery - Office Building 2 Peak Demand,Heating
Municipal Water - Laboratory Monthly Invoice,Water
Electricity Supply - Packaging Facility (December),Electricity
Gas Consumption - Office Building 2 Monthly,Heating
Water Supply - Production Site Monthly Invoice,Water
Heating Service - Boiler Room February,Heating
Municipal Water - Admin Block Q2,Water
Utility Water Bill - Irrigation System Meter Reading,Water
Scrap Metal Hauling - Solvent Waste Container Emptying,Waste Disposal
Water Charges - Irrigation System July,Water
Natural Gas Supply - Office Building 2 Winter Season,Heating
Waste Disposal - Pallet Disposal Monthly Fee,Waste Disposal
Utility Water Bill - Irrigation System Meter Reading,Water
Water Supply - Cooling Tower Q2,Water
Propane Purchase - Chemical Storage Q4,Heating
Electrical Service - R&D Lab (December),Electricity
Electricity Supply - Corporate Office (January),Electricity
Refuse Collection - Solvent Waste Q1,Waste Disposal
Utility Water Bill - Production Site Q2,Water
Natural Gas Supply - Drying Ovens October,Heating
Water Supply - Fire Sprinklers Annual Fee,Water
Scrap Metal Hauling - Industrial Debris Container Emptying,Waste Disposal
Natural Gas Supply - Warehouse February,Heating
Power Consumption - Main Plant (January),Electricity
Utility Water Bill - Production Site July,Water
H2O Billing - Admin Block Annual Fee,Water
Heating Service - Office Building 2 Monthly,Heating
Electrical Service - Main Plant (Monthly),Electricity
Waste Disposal - Industrial Debris Weekly Service,Waste Disposal
Electrical Service - North Warehouse (Year-End),Electricity
Electrical Service - North Warehouse (Semi-Annual),Electricity
Refuse Collection - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Propane Purchase - Chemical Storage Peak Demand,Heating
Scrap Metal Hauling - Solvent Waste Q1,Waste Disposal
Water Charges - Admin Block July,Water
Utility Water Bill - Fire Sprinklers Q3,Water
Waste Disposal - Solvent Waste Bi-Weekly Pickup,Waste Disposal
